Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2
704040,1555824,2023-06-09,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5002,2.18,2.3602,"0,06","2,3","2,42","1028,478468","98,37","1175,07",0,1900-01-01,0.3201999999999998,-2.04,-1.6798000000000002
704817,1559709,2023-06-12,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.542,2.1588,2.3625,"0,04","2,32","2,41","1028,989499","98,36","1173,96",0,1900-01-01,0.3832,-1.9792999999999998,-1.6168
705594,1561263,2023-06-13,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.4891,2.1625,2.3613,"0,06","2,3","2,42","1029,73542","98,37","1168,01",0,1900-01-01,0.3266,-2.0347,-1.6734
706371,1562814,2023-06-14,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5001,2.1699,2.3674,"0,04","2,32","2,41","1030,047852","98,34","1168,38",0,1900-01-01,0.33020000000000005,-2.0372,-1.6698
707143,1564357,2023-06-15,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5001,2.1807,2.3678,"0,05","2,32","2,42","1030,625034","98,34","1168,93",35,1900-01-01,0.31940000000000035,-2.0483999999999996,-1.6805999999999996
707914,1565899,2023-06-16,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5124,2.1562,2.3606,"0,05","2,31","2,41","1031,564841","98,37","1169,14",45,1900-01-01,0.35619999999999985,-2.0044,-1.6438000000000001
708685,1567441,2023-06-19,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.531,2.1855,2.369,"0,05","2,32","2,42","1031,801447","98,34","1167,34",15,1900-01-01,0.3454999999999999,-2.0235000000000003,-1.6545
709456,1568983,2023-06-20,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5941,2.196,2.3726,"0,05","2,33","2,42","1032,253409","98,32","1166,28",5,1900-01-01,0.3980999999999999,-1.9745,-1.6019
710226,1572060,2023-06-21,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5163,2.2408,2.3773,"0,04","2,34","2,41","1032,632901","98,3","1166,62",0,1900-01-01,0.2755000000000001,-2.1018,-1.7245
710995,1573598,2023-06-22,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5144,2.2227,2.3793,"0,04","2,34","2,42","1033,163325","98,29","1165,38",35,1900-01-01,0.29170000000000007,-2.0876,-1.7083
711764,1575136,2023-06-23,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6011,2.2346,2.387,"0,06","2,32","2,45","1033,379603","98,26","1167,2",10,1900-01-01,0.36650000000000027,-2.0204999999999997,-1.6334999999999997
712533,1576674,2023-06-26,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6001,2.2413,2.3943,"0,05","2,35","2,44","1033,627791","98,22","1168,12",5,1900-01-01,0.3588,-2.0355,-1.6412
713305,1578231,2023-06-27,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5779,2.2438,2.4067,"0,07","2,34","2,47","1033,669472","98,17","1166,94",0,1900-01-01,0.3341000000000003,-2.0725999999999996,-1.6658999999999997
714090,1579800,2023-06-28,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6236,2.2441,2.4119,"0,07","2,34","2,48","1034,076752","98,15","1164,18",0,1900-01-01,0.37950000000000017,-2.0324,-1.6204999999999998
714874,1581368,2023-06-29,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6282,2.2476,2.4198,"0,07","2,35","2,49","1034,314612","98,11","1164,05",0,1900-01-01,0.38060000000000027,-2.0391999999999997,-1.6193999999999997
715658,1582936,2023-06-30,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.619,2.2485,2.4232,"0,07","2,36","2,49","1034,68766","98,09","1168,39",0,1900-01-01,0.3705000000000003,-2.0526999999999997,-1.6294999999999997
716442,1584504,2023-07-03,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5717,2.2216,2.4238,"0,05","2,38","2,47","1035,224629","98,09","1170,84",0,1900-01-01,0.35009999999999986,-2.0737,-1.6499000000000001
