Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff
703179,1554186,2023-06-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8739,1.5526,1.7189,"0,08","1,64","1,79","10256,920476","98,47","478,92",10,1900-01-01,0.3212999999999999,-1.3976000000000002,-0.5787000000000001,-0.0166999999999999
703956,1555740,2023-06-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8781,1.5748,1.7237,"0,08","1,65","1,8","10261,719041","98,47","478,48",5,1900-01-01,0.3033000000000001,-1.4204,-0.5966999999999999,0.0047999999999999
704733,1559625,2023-06-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8651,1.5331,1.7147,"0,04","1,68","1,75","10269,319943","98,49","477,58",0,1900-01-01,0.3320000000000001,-1.3826999999999998,-0.568,-0.0090000000000001
705510,1561179,2023-06-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8029,1.553,1.7047,"0,1","1,61","1,8","10277,286339","98,51","476,14",0,1900-01-01,0.2499,-1.4548,-0.6501,-0.0099999999999997
706287,1562730,2023-06-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8406,1.5282,1.6861,"0,07","1,61","1,76","10286,709769","98,55","475,27",0,1900-01-01,0.3124,-1.3737,-0.5876,-0.0186000000000001
707059,1564273,2023-06-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7898,1.3636,1.6839,"0,05","1,64","1,73","10292,999753","98,55","474,39",0,1900-01-01,0.4262000000000001,-1.2576999999999998,-0.4737999999999999,-0.0021999999999999
707830,1565815,2023-06-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8115,1.5279,1.6784,"0,09","1,59","1,76","10299,990858","98,57","473,28",0,1900-01-01,0.2836000000000001,-1.3947999999999998,-0.6164,-0.0055
708601,1567357,2023-06-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8241,1.527,1.673,"0,08","1,6","1,75","10306,938284","98,58","472,26",0,1900-01-01,0.2971000000000001,-1.3759,-0.6028999999999999,-0.0053999999999998
709372,1568899,2023-06-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.798,1.5412,1.6619,"0,07","1,59","1,73","10314,912619","98,6","471,42",0,1900-01-01,0.2568000000000001,-1.4050999999999998,-0.6431999999999999,-0.0111000000000001
710142,1571976,2023-06-21,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7708,1.506,1.6664,"0,08","1,59","1,74","10319,999014","98,6","470,34",0,1900-01-01,0.2647999999999999,-1.4016000000000002,-0.6352000000000001,0.0045000000000001
